Study_id,Study_name,country,ISO,admin1,Mul_admin1,time,age_l,age_u,age_mid,total,pos,neg
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,0,0,0.5,1,1,0
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,1,1,1.5,5,3,2
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,2,2,2.5,1,0,1
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,3,3,3.5,1,0,1
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,4,4,4.5,41,4,37
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,5,5,5.5,57,1,56
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,6,6,6.5,63,3,60
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,7,7,7.5,60,2,58
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,8,8,8.5,68,4,64
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,9,9,9.5,79,12,67
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,10,10,10.5,71,14,57
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,11,11,11.5,83,21,62
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,12,12,12.5,90,34,56
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,13,13,13.5,73,30,43
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,14,14,14.5,79,29,50
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,15,15,15.5,66,22,44
A_Desiree_LaBeaud_ELISA,A DL et al/ELISA,Kenya,KEN,Kwale,0,2009,16,16,16.5,45,19,26
