"country","year","X0","X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19","X20","X21","X22","X23","X24","X25","X26","X27","X28","X29","X30","X31","X32","X33","X34","X35","X36","X37","X38","X39","X40","X41","X42","X43","X44","X45","X46","X47","X48","X49","X50","X51","X52","X53","X54","X55","X56","X57","X58","X59","X60","X61","X62","X63","X64","X65","X66","X67","X68","X69","X70","X71","X72","X73","X74","X75","X76","X77","X78","X79","X80","X81","X82","X83","X84","X85","X86","X87","X88","X89","X90","X91","X92","X93","X94","X95","X96","X97","X98","X99","X100"
"Comoros",1950,4984,4745,4539,4362,4212,4086,3979,3890,3814,3749,3696,3654,3602,3529,3442,3362,3285,3210,3140,3074,3008,2942,2878,2815,2752,2691,2630,2573,2521,2472,2422,2374,2322,2265,2205,2145,2083,2021,1959,1897,1833,1771,1703,1626,1545,1465,1386,1313,1252,1200,1148,1097,1050,1007,967,929,893,857,819,780,743,707,673,643,616,589,562,534,501,466,432,400,366,332,298,265,232,203,181,163,147,133,115,89,60,33,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comoros",1951,5636,4906,4667,4466,4299,4163,4053,3968,3894,3821,3750,3693,3649,3594,3519,3432,3351,3272,3196,3125,3059,2992,2926,2861,2797,2735,2673,2612,2555,2502,2453,2403,2354,2302,2245,2185,2124,2062,2000,1938,1875,1812,1750,1682,1605,1524,1444,1364,1292,1231,1178,1126,1075,1028,984,943,904,868,831,793,753,716,679,644,614,586,558,531,502,470,435,401,369,336,303,271,239,208,180,160,143,128,115,99,76,51,26,5,0,0,0,0,0,0,0,0,0,0,0,0,0
"Comoros",1952,6142,5524,4808,4568,4373,4218,4095,4004,3941,3881,3811,3736,3675,3627,3570,3494,3408,3326,3246,3168,3097,3030,2963,2897,2832,2768,2705,2644,2583,2526,2473,2424,2374,2325,2272,2215,2155,2094,2032,1970,1909,1846,1783,1721,1654,1577,1496,1417,1338,1265,1204,1152,1099,1048,1001,957,915,876,839,802,763,723,685,648,613,582,553,525,498,469,436,401,368,336,304,272,242,212,182,157,138,123,109,97,83,63,42,20,4,0,0,0,0,0,0,0,0,0,0,0,0
"Comoros",1953,6528,5823,5246,4706,4467,4279,4134,4026,3952,3911,3866,3799,3718,3655,3604,3543,3467,3381,3299,3217,3139,3067,3000,2932,2866,2800,2737,2675,2613,2553,2495,2443,2393,2343,2294,2241,2184,2124,2063,2002,1940,1878,1816,1753,1692,1624,1548,1468,1389,1310,1238,1177,1124,1072,1021,973,929,887,847,810,772,733,693,654,616,581,550,521,492,464,435,402,368,335,303,272,242,213,185,157,134,116,102,89,78,66,50,33,13,2,0,0,0,0,0,0,0,0,0,0,0
"Comoros",1954,6813,6080,5475,4986,4606,4367,4186,4052,3958,3902,3882,3852,3788,3703,3636,3582,3519,3442,3356,3273,3190,3111,3038,2971,2903,2836,2771,2707,2645,2584,2523,2466,2413,2363,2313,2264,2211,2154,2094,2033,1971,1910,1848,1786,1724,1663,1596,1520,1440,1361,1283,1211,1150,1098,1045,994,946,901,859,819,781,743,703,662,623,585,550,518,488,459,431,401,369,335,302,270,240,211,184,158,132,111,94,81,70,60,50,37,24,7,1,0,0,0,0,0,0,0,0,0,0
"Comoros",1955,7009,6300,5705,5215,4819,4507,4268,4093,3970,3890,3852,3854,3839,3777,3687,3618,3560,3494,3416,3331,3247,3163,3083,3010,2942,2874,2806,2741,2677,2615,2554,2494,2437,2384,2334,2284,2234,2181,2124,2064,2003,1942,1880,1819,1757,1695,1634,1567,1492,1412,1334,1256,1184,1124,1071,1018,967,919,874,831,790,752,713,673,632,593,554,518,486,456,426,398,368,335,301,269,238,208,181,155,131,107,88,72,61,50,42,34,25,16,0,0,0,0,0,0,0,0,0,0,0
"Comoros",1956,7125,6745,6114,5577,5126,4754,4452,4209,4030,3912,3840,3803,3802,3784,3722,3634,3564,3505,3439,3361,3276,3192,3109,3029,2957,2889,2822,2755,2691,2627,2566,2505,2446,2389,2336,2286,2236,2187,2135,2078,2018,1958,1897,1836,1775,1714,1652,1592,1525,1451,1372,1294,1217,1146,1086,1034,981,931,883,837,795,754,715,677,637,596,557,519,484,451,421,392,364,335,304,271,241,212,184,159,136,114,93,75,62,51,42,35,28,21,13,0,0,0,0,0,0,0,0,0,0
"Comoros",1957,7207,6648,6496,5942,5461,5049,4700,4407,4159,3976,3862,3800,3764,3759,3739,3676,3588,3518,3458,3391,3313,3228,3145,3062,2982,2910,2844,2777,2711,2647,2584,2523,2462,2403,2346,2294,2244,2194,2145,2093,2037,1977,1918,1857,1797,1736,1675,1614,1553,1487,1413,1335,1258,1181,1111,1051,999,947,896,848,803,760,719,680,642,602,561,523,485,450,418,388,359,331,303,273,242,213,186,160,137,116,97,78,63,51,42,34,29,23,17,10,0,0,0,0,0,0,0,0,0
"Comoros",1958,7267,6804,6374,6253,5776,5350,4976,4650,4366,4113,3926,3816,3762,3728,3719,3696,3633,3546,3475,3414,3346,3268,3184,3101,3017,2938,2867,2800,2734,2669,2605,2542,2481,2421,2362,2306,2254,2204,2154,2105,2053,1997,1938,1879,1819,1759,1699,1638,1576,1516,1450,1377,1299,1223,1147,1077,1017,965,913,862,814,769,726,685,646,607,567,527,489,452,417,385,355,326,299,271,242,213,186,160,136,115,97,80,64,50,40,33,26,22,18,13,7,0,0,0,0,0,0,0,0
"Comoros",1959,7322,6946,6577,6216,6009,5608,5238,4902,4600,4324,4066,3875,3769,3724,3691,3679,3653,3590,3503,3432,3370,3301,3223,3139,3056,2972,2893,2822,2757,2691,2626,2563,2501,2440,2380,2321,2265,2213,2163,2114,2064,2013,1957,1899,1840,1781,1721,1661,1600,1539,1478,1413,1340,1263,1187,1112,1043,983,931,879,828,780,735,691,650,611,572,533,493,455,418,384,352,322,293,266,239,212,184,159,134,113,94,78,63,49,38,30,24,19,15,12,9,4,0,0,0,0,0,0,0
